Enduro: Thread  6 | Step       66/    8370 | Reward   1 | Qmax 0.3237 | Loss 0.618 | Epsilon 0.9994
Enduro: Thread  2 | Step       35/    8376 | Reward   0 | Qmax 0.3628 | Loss 0.084 | Epsilon 0.9984
Enduro: Thread  5 | Step       33/    8421 | Reward   0 | Qmax 0.3890 | Loss 0.086 | Epsilon 0.9985
Enduro: Thread  4 | Step       39/    8554 | Reward   0 | Qmax 0.3484 | Loss 0.092 | Epsilon 0.9980
Enduro: Thread  1 | Step       34/    8594 | Reward   0 | Qmax 0.3251 | Loss 0.077 | Epsilon 0.9978
Enduro: Thread  0 | Step      165/    8637 | Reward   2 | Qmax 0.3601 | Loss 0.505 | Epsilon 0.9954
Enduro: Thread  2 | Step       35/    8639 | Reward   0 | Qmax 0.3429 | Loss 0.093 | Epsilon 0.9984
Enduro: Thread  5 | Step       32/    8675 | Reward   0 | Qmax 0.3348 | Loss 0.117 | Epsilon 0.9985
Enduro: Thread  4 | Step       33/    8811 | Reward   0 | Qmax 0.3320 | Loss 0.256 | Epsilon 0.9979
Enduro: Thread  1 | Step       36/    8873 | Reward   0 | Qmax 0.3029 | Loss 0.083 | Epsilon 0.9978
Enduro: Thread  2 | Step       35/    8893 | Reward   0 | Qmax 0.3157 | Loss 0.076 | Epsilon 0.9983
Enduro: Thread  0 | Step       33/    8902 | Reward   0 | Qmax 0.3301 | Loss 0.149 | Epsilon 0.9953
Enduro: Thread  5 | Step       31/    8942 | Reward   0 | Qmax 0.3242 | Loss 0.142 | Epsilon 0.9984
Enduro: Thread  6 | Step       74/    9035 | Reward   1 | Qmax 0.3111 | Loss 0.519 | Epsilon 0.9993
Enduro: Thread  4 | Step       32/    9070 | Reward   0 | Qmax 0.3495 | Loss 0.122 | Epsilon 0.9978
Enduro: Thread  7 | Step       92/    9111 | Reward   1 | Qmax 0.3453 | Loss 0.390 | Epsilon 0.9990
Enduro: Thread  3 | Step      132/    9112 | Reward   2 | Qmax 0.3454 | Loss 0.285 | Epsilon 0.9986
Enduro: Thread  1 | Step       35/    9129 | Reward   0 | Qmax 0.3304 | Loss 0.207 | Epsilon 0.9977
Enduro: Thread  0 | Step       34/    9162 | Reward   0 | Qmax 0.3455 | Loss 0.066 | Epsilon 0.9952
Enduro: Thread  2 | Step       31/    9169 | Reward   0 | Qmax 0.3394 | Loss 0.178 | Epsilon 0.9983
Enduro: Thread  5 | Step       34/    9197 | Reward   0 | Qmax 0.3428 | Loss 0.082 | Epsilon 0.9983
Enduro: Thread  6 | Step       31/    9280 | Reward   0 | Qmax 0.3366 | Loss 0.111 | Epsilon 0.9992
Enduro: Thread  3 | Step       33/    9369 | Reward   0 | Qmax 0.2937 | Loss 1.045 | Epsilon 0.9985
Enduro: Thread  7 | Step       35/    9384 | Reward   0 | Qmax 0.3185 | Loss 0.078 | Epsilon 0.9989
Enduro: Thread  0 | Step       31/    9412 | Reward   0 | Qmax 0.3035 | Loss 0.108 | Epsilon 0.9952
Enduro: Thread  2 | Step       33/    9419 | Reward   0 | Qmax 0.3098 | Loss 0.103 | Epsilon 0.9983
Enduro: Thread  4 | Step       35/    9422 | Reward   0 | Qmax 0.3051 | Loss 0.265 | Epsilon 0.9977
Enduro: Thread  5 | Step       34/    9455 | Reward   0 | Qmax 0.2918 | Loss 0.104 | Epsilon 0.9982
Enduro: Thread  1 | Step       34/    9485 | Reward   0 | Qmax 0.2960 | Loss 0.201 | Epsilon 0.9977
Enduro: Thread  6 | Step       33/    9534 | Reward   0 | Qmax 0.3002 | Loss 0.097 | Epsilon 0.9992
Enduro: Thread  0 | Step       33/    9675 | Reward   0 | Qmax 0.2878 | Loss 0.085 | Epsilon 0.9951
Enduro: Thread  2 | Step       36/    9696 | Reward   0 | Qmax 0.3047 | Loss 0.144 | Epsilon 0.9982
Enduro: Thread  5 | Step       33/    9728 | Reward   0 | Qmax 0.2974 | Loss 0.079 | Epsilon 0.9982
